#Masse - Plot 0	Amplitude (V) - Plot 0	scangeschwindigkeit: 3 s/amu druck: 9.4 E -06 ausgangsdruck: 1.0 E -5 mbar
0,1016	0,167005	
0,1016	0,167005	
0,130941	0,131606	
0,130941	0,131606	
0,161173	0,154546	
0,161173	0,154546	
0,190596	0,112551	
0,190596	0,112551	
0,220518	0,114754	
0,220518	0,114754	
0,24996	0,10953	
0,24996	0,10953	
0,279862	0,0812989	
0,279862	0,0812989	
0,309689	0,0451078	
0,309689	0,0451078	
0,340068	0,0394205	
0,340068	0,0394205	
0,369513	0,0146323	
0,369513	0,0146323	
0,399073	0,0195631	
0,399073	0,0195631	
0,428819	0,113422	
0,428819	0,113422	
0,458627	0,111719	
0,458627	0,111719	
0,488366	0,0718336	
0,488366	0,0718336	
0,517854	0,152206	
0,517854	0,152206	
0,547394	0,139424	
0,547394	0,139424	
0,577163	0,114053	
0,577163	0,114053	
0,606768	0,0884758	
0,606768	0,0884758	
0,636384	0,0697832	
0,636384	0,0697832	
0,666485	0,0619055	
0,666485	0,0619055	
0,695986	0,0434786	
0,695986	0,0434786	
0,725533	0,0738146	
0,725533	0,0738146	
0,754838	0,0976764	
0,754838	0,0976764	
0,784643	0,00667673	
0,784643	0,00667673	
0,814453	0,0186177	
0,814453	0,0186177	
0,843808	0,122836	
0,843808	0,122836	
0,873876	0,0798821	
0,873876	0,0798821	
0,903759	0,00771271	
0,903759	0,00771271	
0,933009	0,0815053	
0,933009	0,0815053	
0,963029	0,145928	
0,963029	0,145928	
0,992761	0,162909	
0,992761	0,162909	
1,02194	0,169798	
1,02194	0,169798	
1,05188	0,151255	
1,05188	0,151255	
1,08182	0,133007	
1,08182	0,133007	
1,11097	0,122885	
1,11097	0,122885	
1,14101	0,119209	
1,14101	0,119209	
1,17002	0,0618165	
1,17002	0,0618165	
1,20005	0,0275235	
1,20005	0,0275235	
1,22959	0,0535984	
1,22959	0,0535984	
1,25935	0,0884566	
1,25935	0,0884566	
1,28896	0,100532	
1,28896	0,100532	
1,31884	0,0799825	
1,31884	0,0799825	
1,34831	-0,00334688	
1,34831	-0,00334688	
1,37781	-0,00511721	
1,37781	-0,00511721	
1,40779	-0,0789787	
1,40779	-0,0789787	
1,43671	-0,0310676	
1,43671	-0,0310676	
1,46652	0,0232514	
1,46652	0,0232514	
1,49622	0,0337984	
1,49622	0,0337984	
1,52613	-0,000201114	
1,52613	-0,000201114	
1,55595	-0,0209308	
1,55595	-0,0209308	
1,58556	-0,00671047	
1,58556	-0,00671047	
1,61499	-0,0315561	
1,61499	-0,0315561	
1,64447	-0,00256036	
1,64447	-0,00256036	
1,67403	-0,0274477	
1,67403	-0,0274477	
1,70441	-0,0308162	
1,70441	-0,0308162	
1,73365	-0,0265337	
1,73365	-0,0265337	
1,76363	-0,032127	
1,76363	-0,032127	
1,7932	-0,0497015	
1,7932	-0,0497015	
1,82243	-0,0293527	
1,82243	-0,0293527	
1,85271	-0,0292686	
1,85271	-0,0292686	
1,8821	-0,028407	
1,8821	-0,028407	
1,91148	0,00744629	
1,91148	0,00744629	
1,94128	-0,0609023	
1,94128	-0,0609023	
1,97055	0,027786	
1,97055	0,027786	
2,00023	-0,0589119	
2,00023	-0,0589119	
2,03005	-0,0426134	
2,03005	-0,0426134	
2,0597	-0,0475357	
2,0597	-0,0475357	
2,08945	-0,00788732	
2,08945	-0,00788732	
2,11934	-0,0158608	
2,11934	-0,0158608	
2,14898	-0,0253565	
2,14898	-0,0253565	
2,17791	-0,0206722	
2,17791	-0,0206722	
2,20772	-0,0189645	
2,20772	-0,0189645	
2,23737	-0,020217	
2,23737	-0,020217	
2,26708	-0,00459612	
2,26708	-0,00459612	
2,29657	-0,0358846	
2,29657	-0,0358846	
2,32617	-0,0376229	
2,32617	-0,0376229	
2,35613	-0,0113334	
2,35613	-0,0113334	
2,38535	-0,016244	
2,38535	-0,016244	
2,41483	-0,00886102	
2,41483	-0,00886102	
2,44404	-0,0132903	
2,44404	-0,0132903	
2,47409	0,00292672	
2,47409	0,00292672	
2,5037	0,00663042	
2,5037	0,00663042	
2,53347	0,00593064	
2,53347	0,00593064	
2,56325	-0,0181578	
2,56325	-0,0181578	
2,59316	-0,0441391	
2,59316	-0,0441391	
2,62274	0,0164985	
2,62274	0,0164985	
2,65222	-0,0462802	
2,65222	-0,0462802	
2,68193	-0,0213613	
2,68193	-0,0213613	
2,71143	-0,0227696	
2,71143	-0,0227696	
2,74093	-0,0243759	
2,74093	-0,0243759	
2,77041	-0,0117746	
2,77041	-0,0117746	
2,80022	-0,0345747	
2,80022	-0,0345747	
2,82988	-0,0272481	
2,82988	-0,0272481	
2,85975	-0,0144355	
2,85975	-0,0144355	
2,88899	-0,0398077	
2,88899	-0,0398077	
2,91899	0,0252582	
2,91899	0,0252582	
2,949	0,00577672	
2,949	0,00577672	
2,97869	-0,0247989	
2,97869	-0,0247989	
3,0082	-0,0221449	
3,0082	-0,0221449	
3,03763	-0,0342998	
